ProductID,ProductName,Category,Brand,StockLevel,Price,Attributes
P001,Look Headphones,Computers,Dell,15,763.24,"{'processor': 'Intel i5', 'RAM': '18GB', 'storage': '478GB SSD'}"
P002,Bank Headphones,Computers,HP,181,1034.29,"{'processor': 'Intel i5', 'RAM': '25GB', 'storage': '586GB SSD'}"
P003,Front Headphones,Mobile,HP,92,1294.6,"{'model': 'iPhone', 'storage': '236GB', 'color': 'Black'}"
P004,Recently Smartphone,Electronics,Samsung,183,1168.44,"{'size': '62 inches', 'resolution': '1080p', 'smart': 'Yes'}"
P005,Trouble Smartphone,Computers,Samsung,6,1186.34,"{'processor': 'AMD Ryzen 7', 'RAM': '28GB', 'storage': '814GB SSD'}"
P006,Sign Smartphone,Computers,Samsung,199,1505.65,"{'processor': 'Intel i7', 'RAM': '31GB', 'storage': '918GB SSD'}"
P007,Property Headphones,Electronics,Lenovo,118,128.29,"{'size': '46 inches', 'resolution': '4K', 'smart': 'No'}"
P008,Onto Refrigerator,Mobile,Lenovo,148,601.48,"{'model': 'iPhone', 'storage': '330GB', 'color': 'Blue'}"
P009,Finish Headphones,Mobile,Sony,136,1431.73,"{'model': 'Galaxy', 'storage': '401GB', 'color': 'Red'}"
P010,Value TV,Computers,Samsung,11,922.59,"{'processor': 'Intel i5', 'RAM': '17GB', 'storage': '723GB SSD'}"
P011,Bed Refrigerator,Computers,Sony,29,771.18,"{'processor': 'Intel i7', 'RAM': '24GB', 'storage': '397GB SSD'}"
P012,Worry TV,Mobile,Dell,77,402.96,"{'model': 'Galaxy', 'storage': '381GB', 'color': 'Blue'}"
P013,Citizen Headphones,Mobile,Dell,178,1047.69,"{'model': 'iPhone', 'storage': '252GB', 'color': 'Red'}"
P014,Actually Refrigerator,Mobile,Lenovo,77,1810.86,"{'model': 'iPhone', 'storage': '78GB', 'color': 'White'}"
P015,Amount Refrigerator,Accessories,LG,110,313.49,"{'type': 'Case', 'compatibility': 'Android'}"
P016,Language Headphones,Electronics,Apple,27,571.54,"{'size': '34 inches', 'resolution': '1080p', 'smart': 'Yes'}"
P017,What TV,Appliances,Lenovo,17,91.65,"{'capacity': '385L', 'type': 'Double Door', 'color': 'Black'}"
P018,Career TV,Accessories,HP,83,1167.49,"{'type': 'Headphones', 'compatibility': 'Universal'}"
P019,Draw TV,Electronics,Lenovo,186,611.72,"{'size': '39 inches', 'resolution': '1080p', 'smart': 'No'}"
P020,Anyone Headphones,Electronics,Apple,109,1618.6,"{'size': '41 inches', 'resolution': '4K', 'smart': 'No'}"
P021,Art TV,Mobile,Samsung,7,1719.85,"{'model': 'Galaxy', 'storage': '181GB', 'color': 'Black'}"
P022,Fall Laptop,Accessories,Sony,178,1203.35,"{'type': 'Headphones', 'compatibility': 'Universal'}"
P023,Contain Smartphone,Appliances,HP,51,312.89,"{'capacity': '186L', 'type': 'Single Door', 'color': 'Silver'}"
P024,Already Headphones,Appliances,Apple,140,754.97,"{'capacity': '486L', 'type': 'Single Door', 'color': 'Silver'}"
P025,Rich Laptop,Computers,Dell,141,1772.43,"{'processor': 'AMD Ryzen 7', 'RAM': '32GB', 'storage': '415GB SSD'}"
P026,Store Smartphone,Electronics,LG,9,1599.87,"{'size': '32 inches', 'resolution': '4K', 'smart': 'No'}"
P027,Program Refrigerator,Computers,Sony,164,1026.2,"{'processor': 'Intel i7', 'RAM': '13GB', 'storage': '783GB SSD'}"
P028,Easy Headphones,Accessories,Dell,93,1155.62,"{'type': 'Case', 'compatibility': 'iOS'}"
P029,Bar Headphones,Accessories,Apple,166,1597.5,"{'type': 'Case', 'compatibility': 'Universal'}"
P030,Ground Smartphone,Electronics,Lenovo,175,1989.57,"{'size': '62 inches', 'resolution': '4K', 'smart': 'No'}"
P031,History Smartphone,Mobile,Lenovo,108,1560.94,"{'model': 'iPhone', 'storage': '178GB', 'color': 'Red'}"
P032,Instead Smartphone,Electronics,LG,122,574.93,"{'size': '30 inches', 'resolution': '1080p', 'smart': 'Yes'}"
P033,Where Laptop,Electronics,Sony,18,1888.7,"{'size': '48 inches', 'resolution': '4K', 'smart': 'No'}"
P034,Property TV,Electronics,Samsung,150,1355.3,"{'size': '56 inches', 'resolution': '1080p', 'smart': 'Yes'}"
P035,Right Laptop,Appliances,Dell,130,1273.03,"{'capacity': '177L', 'type': 'Single Door', 'color': 'Black'}"
P036,Second Refrigerator,Accessories,Sony,148,1073.89,"{'type': 'Case', 'compatibility': 'Android'}"
P037,Card Headphones,Accessories,LG,21,1012.41,"{'type': 'Charger', 'compatibility': 'Universal'}"
P038,Fall Refrigerator,Accessories,Samsung,101,113.16,"{'type': 'Headphones', 'compatibility': 'Universal'}"
P039,Unit Headphones,Electronics,Samsung,129,477.83,"{'size': '45 inches', 'resolution': '4K', 'smart': 'No'}"
P040,Mission Smartphone,Mobile,Apple,200,1331.23,"{'model': 'Galaxy', 'storage': '501GB', 'color': 'Red'}"
P041,Chance Refrigerator,Mobile,HP,52,1768.18,"{'model': 'iPhone', 'storage': '244GB', 'color': 'Black'}"
P042,Dinner Refrigerator,Electronics,LG,141,1750.87,"{'size': '62 inches', 'resolution': '1080p', 'smart': 'Yes'}"
P043,Age TV,Appliances,HP,67,648.41,"{'capacity': '446L', 'type': 'Double Door', 'color': 'White'}"
P044,Set Headphones,Mobile,Lenovo,55,375.17,"{'model': 'Galaxy', 'storage': '317GB', 'color': 'White'}"
P045,Election TV,Electronics,Lenovo,181,136.07,"{'size': '45 inches', 'resolution': '1080p', 'smart': 'Yes'}"
P046,Large Headphones,Appliances,LG,17,1498.01,"{'capacity': '169L', 'type': 'Double Door', 'color': 'Black'}"
P047,Building TV,Accessories,HP,66,118.95,"{'type': 'Headphones', 'compatibility': 'iOS'}"
P048,Effort Headphones,Mobile,Dell,186,1015.49,"{'model': 'Pixel', 'storage': '158GB', 'color': 'Black'}"
P049,Pick Headphones,Mobile,Samsung,164,1114.57,"{'model': 'iPhone', 'storage': '212GB', 'color': 'White'}"
P050,Mission Laptop,Mobile,Samsung,5,1665.1,"{'model': 'Galaxy', 'storage': '313GB', 'color': 'White'}"
